Round,Pick,Name,Pos,School,School_Class,Signed,Bonus
13,384,Brady Afthim,P,Connecticut,4YR SR,Y,150000
13,385,Aiden Robertson,P,Walters State CC,JC J2,N,
13,386,Broedy Poppell,C,Florida A&M,4YR SR,Y,50000
13,387,Ethan Storm,P,Rock Valley College,JC J3,Y,150000
13,388,Jack Winnay,3B,Wake Forest,4YR JR,Y,150000
13,389,Callan Fang,P,Harvard,4YR JR,Y,177500
13,390,Jake Shelagowski,P,Saginaw Valley State,4YR JR,Y,150000
13,391,Nate Williams,P,Mississippi State,4YR SR,Y,150000
13,392,Aiden Taurek,OF,Saint Mary's,NS,Y,150000
13,393,Alex Galvan,P,Central Florida,4YR 5S,Y,100000
13,394,Brayden Smith,2B,Oklahoma State,4YR JR,Y,150000
13,395,Gavin Lauridsen,P,Foothill HS,HS SR,N,
13,396,Aubrey Smith,P,UNC Wilmington,4YR JR,Y,150000
13,397,Logan Forsythe,P,Louisiana Tech,4YR JR,Y,150000
13,398,Tyson Moran,SS,No School,NS,Y,247500
13,399,Jack Goodman,SS,Northeastern,4YR JR,Y,150000
13,400,Dylan Grego,SS,Ball State,4YR JR,Y,150000
13,401,Jack Barker,OF,Col of Southern Idaho,JC J2,Y,150000
13,402,Aaron Savary,P,Iowa,4YR JR,Y,150000
13,403,Frank Camarillo,P,UC Santa Barbara,4YR JR,Y,150000
13,404,Kyle West,1B,West Virginia,4YR SR,Y,150000
13,405,Robby Porco,P,West Virginia,4YR JR,Y,147500
14,406,Max Banks,P,Washington,4YR SR,Y,150000
14,407,Luke Broderick,P,Nebraska,4YR JR,Y,165000
14,408,Carson Laws,P,Texas State,4YR JR,Y,150000
14,409,TJ Ford,OF,Trinity Christian School,HS SR,Y,272500
14,410,Griffin Kirn,P,West Virginia,4YR 5S,Y,150000
14,411,Nick Hollifield,C,UAB,4YR JR,Y,150000
14,412,Noah Palmese,P,Webber International University,4YR SR,Y,150000
14,413,Connor Hamilton,P,Montgomery Bell Academy,HS SR,N,
14,414,Bryce Archie,P,South Florida,4YR JR,Y,150000
14,415,Landon Manzi,P,Killingly HS,HS SR,N,
14,416,Trey Seeley,P,Hope International University,4YR SR,Y,25000
14,417,Jacob Hartlaub,P,Ball State,4YR SR,Y,150000
14,418,Carter Rasmussen,P,Wofford,4YR JR,Y,150000
14,419,Merit Jones,P,Utah,4YR JR,Y,150000
14,420,Anthony Watts,P,Iowa,4YR JR,Y,150000
14,421,Kaemyn Franklin,P,Victory Christian,HS SR,Y,200000
14,422,Luke Heyman,C,Florida,4YR JR,Y,230000
14,423,Blake Fields,OF,The First Academy,HS SR,N,
14,424,Brayan Orrantia,P,New Mexico JC,JC J2,Y,151000
14,425,Brendan Brock,C,Southwestern Illinois College,JC J3,N,
14,426,Josh Wakefield,OF,Grand Canyon University,4YR JR,Y,150000
14,427,Mathieu Curtis,P,Virginia Tech,4YR JR,Y,150000
14,428,JC Vanek,1B,Chipola College,JC J1,Y,347500
14,429,Beau Ankeney,1B,Loyola Marymount University,4YR SR,Y,150000
