team,full_name,conference,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
PRES,Presbyterian,Big South,2026,,19,5.60984933585352,0.32545820796449726,5.191555185800304,5.392201227244886,5.60755905100315,5.831198783430144,6.0247899140515075,19,0,1.0
SLU,Saint Louis,Atlantic 10,2026,,14,5.614396352627009,0.48211761208600706,5.004397393874618,5.286045111699382,5.605113705747285,5.933634340611339,6.251532862231964,14,0,1.0
SDST,South Dakota St.,Summit League,2026,,15,5.6145081704519715,0.4572527887975939,5.033137046534693,5.303973158534682,5.611549968673521,5.9219497658710365,6.207799520306001,15,0,1.0
SEA,Seattle U,WAC,2026,,12,5.614650411291977,0.32520890653242296,5.199155967079436,5.396066300564316,5.615305206208262,5.832370813508323,6.0313858500387685,12,0,1.0
BEL,Belmont,Missouri Valley,2026,,15,5.619416630919426,0.36667086435346957,5.147179062957177,5.37717110557998,5.616973994496399,5.862354986842349,6.088641797079778,15,0,1.0
FOR,Fordham,Atlantic 10,2026,,16,5.619504936377166,0.3217252039155996,5.207577338277995,5.403938835554957,5.616939767648216,5.834546478967272,6.029709853263557,16,0,1.0
UAPB,Ark.-Pine Bluff,SWAC,2026,,12,5.6199284605794775,0.4658454999488593,5.022575348523226,5.294059218197935,5.621349821285591,5.928784724185237,6.213983043050656,12,0,1.0
FIU,FIU,Conference USA,2026,,17,5.620170397685254,0.34233572763364184,5.180762071968979,5.388173611782108,5.6204167052332,5.849829298430682,6.053551150727854,17,0,1.0
LOU,Louisville,ACC,2026,,17,5.622468298689378,0.3520655574139826,5.176139514507262,5.385959307661521,5.617451248501612,5.858963145773404,6.07650532354073,17,0,1.0
GASO,Ga. Southern,Sun Belt,2026,,17,5.626586181813709,0.38609307638059565,5.135439406589927,5.362460980013048,5.621058753742277,5.884152115455617,6.128081796669231,17,0,1.0
ULM,ULM,Sun Belt,2026,,16,5.629906547552088,0.43852778750207133,5.076612073860876,5.339626466673879,5.622276563630372,5.922161608506381,6.194631662813994,16,0,1.0
NDSU,North Dakota St.,Summit League,2026,,16,5.632566009035127,0.4261184975181996,5.090901449751255,5.342225814296356,5.628502547628425,5.9212330519437915,6.179390786295964,16,0,1.0
UTAH,Utah,Big 12,2026,,15,5.633370553066622,0.366376649552099,5.1570563187040666,5.38654311966223,5.63160085588377,5.880145985431308,6.097845764119453,15,0,1.0
BRWN,Brown,Ivy League,2026,,10,5.6416649000226675,0.4128487861197634,5.117911500008679,5.357616838122299,5.635856293879302,5.919718951658004,6.175171203710294,10,0,1.0
XAV,Xavier,Big East,2026,,17,5.643598099716299,0.30341348828700027,5.249969488568896,5.437944593991764,5.64709897005262,5.85032187934791,6.028412889927392,17,0,1.0
BRAD,Bradley,Missouri Valley,2026,,15,5.644498254128274,0.42458476910816684,5.104731870818004,5.354134977947803,5.638774648843294,5.930718183970223,6.190642249600444,15,0,1.0
INST,Indiana St.,Missouri Valley,2026,,16,5.6459741101107115,0.3476118277841013,5.203311554971751,5.407416303223879,5.644626873600153,5.878006747822928,6.098511611165461,16,0,1.0
KENN,Kennesaw St.,Conference USA,2026,,16,5.649283542202704,0.34569148750299056,5.20405145527791,5.419456924131476,5.650365618862834,5.88059426246652,6.08775608969846,16,0,1.0
UIC,UIC,Missouri Valley,2026,,13,5.6494645364679945,0.3127473014281492,5.253147732938875,5.437849199753276,5.649146273000687,5.859820647247877,6.05170028163076,13,0,1.0
NE,Nebraska,Big Ten,2026,,17,5.650592645170288,0.4452564117938676,5.085361595684468,5.346541781009853,5.645886153892867,5.94838199041402,6.231139958859669,17,0,1.0
AFA,Air Force,Mountain West,2026,,15,5.652847765175625,0.3464809897878623,5.214795729350582,5.4136842651110175,5.646738578905638,5.884446890819389,6.10284357732712,15,0,1.0
BYU,BYU,Big 12,2026,,13,5.659024777653894,0.4482078787843943,5.09155598640984,5.357435213403658,5.656736624395366,5.960164563993409,6.235620329409283,13,0,1.0
CMU,Central Mich.,Mid-American,2026,,14,5.664527343269255,0.34772400281252897,5.224981144172541,5.4212522564488115,5.661181503299899,5.894899004236066,6.113534654195462,14,0,1.0
WMU,Western Mich.,Mid-American,2026,,14,5.666090860634059,0.3405071275911613,5.2315692940058005,5.438362648338335,5.666079306467006,5.895014626886738,6.099083394367113,14,0,1.0
NU,Northwestern,Big Ten,2026,,12,5.6692379647768725,0.36040931707839347,5.206027362153984,5.423167943875912,5.663271290121303,5.908503130809214,6.1366205969242165,12,0,1.0
SAM,Samford,Southern Conference,2026,,15,5.677245787331351,0.40388810334094616,5.1558119430903915,5.404482220180276,5.676085627089739,5.947415115252317,6.186871380161394,15,0,1.0
PITT,Pittsburgh,ACC,2026,,12,5.678939798205804,0.2898638286037129,5.306201760954352,5.484933595314194,5.676655762211959,5.875546906733411,6.050423526745775,12,0,1.0
UMBC,UMBC,America East,2026,,13,5.679408851895552,0.39990944494532443,5.170399640747247,5.410669341029024,5.677786430854341,5.9495139305109905,6.186352503630886,13,0,1.0
LBSU,Long Beach St.,Big West,2026,,14,5.680438127625156,0.39413146846984637,5.178909950388318,5.408707932959773,5.6795077420580515,5.944822876440922,6.191462959306059,14,0,1.0
UNCA,UNC Asheville,Big South,2026,,14,5.685290106485834,0.36136194503247604,5.2220291426259315,5.43991677353783,5.6839278696638456,5.9303710516451,6.149737695046695,14,0,1.0
CSUN,CSUN,Big West,2026,,13,5.68818438375629,0.5445932989316753,4.994391325882099,5.318471853420027,5.680599026347642,6.058329352521522,6.391327788723627,13,0,1.0
HOF,Hofstra,Coastal Athletic,2026,,11,5.689662015551644,0.43149580390341247,5.138958670025179,5.393298401390172,5.687058385696455,5.9785299264005225,6.250921420759804,11,0,1.0
GRAM,Grambling,SWAC,2026,,12,5.691656265582738,0.4650265853598826,5.09715632228855,5.375058314463388,5.690343433083546,5.998495767615061,6.287581644896732,12,0,1.0
BGSU,Bowling Green,Mid-American,2026,,14,5.69789729358231,0.3027633299986392,5.31292180447331,5.491531739546753,5.696710450307464,5.8999512619199805,6.092586885103502,14,0,1.0
DAY,Dayton,Atlantic 10,2026,,14,5.702368471033953,0.49661916812732365,5.067525594972018,5.35529815926069,5.6934895288167,6.036955761469646,6.344464300142797,14,0,1.0
UNCO,Northern Colo.,Summit League,2026,,17,5.704084450068049,0.3370447823937275,5.276874207701787,5.475390121965259,5.702037849545668,5.930954884291922,6.139721855192782,17,0,1.0
MD,Maryland,Big Ten,2026,,14,5.706611633300377,0.35431974810219496,5.247418658192213,5.467736909188144,5.708829529905934,5.9437340945923545,6.161872822003694,14,0,1.0
COLU,Columbia,Ivy League,2026,,12,5.710318115867043,0.40842834713051723,5.188608148096996,5.430458670775987,5.7087876455469555,5.989149822993679,6.230563701114843,12,0,1.0
WSU,Washington St.,Mountain West,2026,,15,5.719280627140583,0.3715917604299536,5.247333020651149,5.469402431686454,5.716921935560514,5.9670612879035545,6.1936676401332145,15,0,1.0
BUCK,Bucknell,Patriot League,2026,,13,5.720000901377035,0.41871782222761755,5.186686977965899,5.436590069537083,5.714886580677906,6.003878827491577,6.252484625893601,13,0,1.0
STO,Stony Brook,Coastal Athletic,2026,,16,5.720134113293317,0.30198944874208244,5.335853473644818,5.511377914278062,5.719157461827349,5.923698840286807,6.111664165925563,16,0,1.0
SJU,St. John's (NY),Big East,2026,,16,5.720729090188672,0.333013868406367,5.296725989211906,5.490298632640402,5.717570985816142,5.947673129593886,6.156249840557023,16,0,1.0
W&M,William & Mary,Coastal Athletic,2026,,14,5.725149517324938,0.43296792596234773,5.170498374470523,5.429757462032612,5.723630239987258,6.013945670049913,6.281874064666017,14,0,1.0
NMSU,New Mexico St.,Conference USA,2026,,15,5.7283902666199715,0.3698799459256237,5.254701156010274,5.471602000910568,5.725080887961564,5.981116488434253,6.211140840587886,15,0,1.0
JKST,Jacksonville St.,Conference USA,2026,,12,5.734536914251102,0.5620249433275191,5.016385586676541,5.350521550390829,5.731563031454243,6.116225567140525,6.454874209671634,12,0,1.0
STBK,Stony Brook,Coastal Athletic,2026,,14,5.738513232155778,0.40959009219201126,5.2123449211452355,5.461598560703048,5.736663217879153,6.010380119946193,6.266790138069688,14,0,1.0
