rank,team,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
135,FAMU,2026,,14,5.722350657460183,0.3422287567947826,5.289343698522012,5.488288526131946,5.721132671452574,5.958353082909221,6.157332071253658,14,0,1.0
136,USA,2026,,14,5.723518651603069,0.3292909930718169,5.299811324255037,5.5052073364077,5.719550074908214,5.943416994149711,6.148830520172806,14,0,1.0
137,COFC,2026,,17,5.724104012309785,0.33133006841053536,5.299508439922169,5.500859897149173,5.731303287560909,5.946245977182859,6.140700630000005,17,0,1.0
138,PUR,2026,,14,5.7270657045429,0.3769581444636622,5.239673624962262,5.472263100264232,5.727337421348477,5.983588514633276,6.2088285927828055,14,0,1.0
139,BC,2026,,13,5.732022773480261,0.3902650563794804,5.236790638016849,5.467493793939237,5.730281061203847,5.989407670767919,6.232435038486582,13,0,1.0
140,LOU,2026,,17,5.732133545127198,0.3240343192855624,5.3151336393282556,5.509661192525254,5.731487168334329,5.953033981914977,6.14955531774353,17,0,1.0
141,ELON,2026,,12,5.733001420363365,0.3637640750092958,5.266216775859146,5.481613408655262,5.737054459081772,5.9790894759320885,6.198662718981712,12,0,1.0
142,DEL,2026,,17,5.7336308362828525,0.330934128594587,5.317601992518621,5.509931067631683,5.730226527048137,5.95780369291741,6.161167277230628,17,0,1.0
143,UNCG,2026,,13,5.737286843867787,0.35276659348772765,5.289874738138987,5.495878353939432,5.733174704409004,5.976151565170917,6.188728363132748,13,0,1.0
144,CIT,2026,,11,5.737990807232402,0.417057164753339,5.216292894917183,5.455351065643356,5.733193587612875,6.0185301840182515,6.273441425745575,11,0,1.0
145,FAU,2026,,15,5.741053971616381,0.3875146284839548,5.240665147401301,5.479210897561116,5.743267243115639,6.0074248393929315,6.233969243194509,15,0,1.0
146,LR,2026,,14,5.741478231911324,0.3355955737044455,5.309023476078286,5.514945081981038,5.742266475119489,5.970297576727922,6.173344710156422,14,0,1.0
147,EIU,2026,,11,5.74274154095825,0.3915380268317376,5.242542595528087,5.47996925698548,5.7391125848110445,6.0079921577188795,6.245870348906452,11,0,1.0
148,PEPP,2026,,11,5.745717989907556,0.39208127312474456,5.246422356800575,5.48316777797912,5.7455167415819695,6.012586534687501,6.247331184156618,11,0,1.0
149,SMC,2026,,11,5.7460287292459284,0.40453888193509047,5.232693489219659,5.47063922672397,5.744072448905675,6.012976344922627,6.265356358831559,11,0,1.0
150,MONM,2026,,11,5.749966828035,0.3674556245709135,5.27637797965606,5.502739443758491,5.747124029960506,6.000162593893812,6.21721697161937,11,0,1.0
151,WIN,2026,,13,5.751084490875871,0.3624730326093519,5.285026127501074,5.509768754295653,5.751125013063186,5.995465000446103,6.20942082964782,13,0,1.0
152,EVAN,2026,,11,5.751245608248217,0.3634829246889574,5.286539001964663,5.510522896330244,5.7536399961135025,5.992464589498999,6.212424053857096,11,0,1.0
153,JMU,2026,,12,5.75488121473503,0.4172447111324867,5.222629387960148,5.472400700929313,5.758484498296573,6.0380990084500565,6.2868541834694485,12,0,1.0
154,JAX,2026,,16,5.755591126157553,0.32950982681476987,5.334399411836897,5.536108469637236,5.755618364027997,5.9793882402167435,6.179191182599118,16,0,1.0
155,HCU,2026,,14,5.760362439090166,0.34198688096944124,5.323689083431079,5.53063113581031,5.764208897388648,5.985001198815557,6.196967162221594,14,0,1.0
156,SIUE,2026,,15,5.760426600184037,0.3375755084596263,5.333209202784571,5.527177774822569,5.756092505548472,5.990590031516152,6.197376399997255,15,0,1.0
