Season,Name,Conference,W,L,T,PCT
2025,Central Conn. St.,Northeast,31.0,17.0,0.0,0.6458333333333334
2017,Central Mich.,Mid-American,31.0,28.0,0.0,0.525
2018,Central Mich.,Mid-American,29.0,30.0,1.0,0.492
2019,Central Mich.,Mid-American,47.0,14.0,0.0,0.77
2021,Central Mich.,Mid-American,42.0,18.0,0.0,0.7
2022,Central Mich.,Mid-American,43.0,19.0,0.0,0.694
2023,Central Mich.,Mid-American,34.0,23.0,0.0,0.596
2024,Central Mich.,Mid-American,17.0,38.0,0.0,0.309
2025,Central Mich.,Mid-American,20.0,35.0,0.0,0.36363636363636365
2017,Charleston So.,Big South,22.0,29.0,0.0,0.431
2018,Charleston So.,Big South,19.0,35.0,0.0,0.352
2019,Charleston So.,Big South,23.0,36.0,0.0,0.39
2021,Charleston So.,Big South,18.0,26.0,0.0,0.409
2022,Charleston So.,Big South,24.0,30.0,0.0,0.444
2023,Charleston So.,Big South,22.0,28.0,0.0,0.44
2024,Charleston So.,Big South,22.0,32.0,0.0,0.407
2025,Charleston So.,Big South,31.0,22.0,0.0,0.5849056603773585
2017,Charlotte,American Athletic,34.0,24.0,0.0,0.586
2018,Charlotte,American Athletic,34.0,24.0,0.0,0.586
2019,Charlotte,American Athletic,21.0,31.0,1.0,0.406
2021,Charlotte,American Athletic,40.0,21.0,0.0,0.656
2022,Charlotte,American Athletic,36.0,22.0,0.0,0.621
2023,Charlotte,American Athletic,36.0,28.0,0.0,0.563
2024,Charlotte,American Athletic,24.0,34.0,0.0,0.414
2025,Charlotte,American Athletic,36.0,22.0,0.0,0.6206896551724138
2017,Chicago St.,Independent,11.0,41.0,0.0,0.212
2018,Chicago St.,Independent,13.0,41.0,0.0,0.241
2019,Chicago St.,Independent,10.0,41.0,0.0,0.196
2017,Cincinnati,Big 12,28.0,30.0,0.0,0.483
2018,Cincinnati,Big 12,28.0,28.0,0.0,0.5
2019,Cincinnati,Big 12,31.0,31.0,0.0,0.5
2021,Cincinnati,Big 12,29.0,26.0,0.0,0.527
2022,Cincinnati,Big 12,24.0,31.0,0.0,0.436
2023,Cincinnati,Big 12,24.0,33.0,0.0,0.421
2024,Cincinnati,Big 12,32.0,25.0,0.0,0.561
2025,Cincinnati,Big 12,33.0,26.0,0.0,0.559322033898305
2017,Clemson,ACC,42.0,21.0,0.0,0.667
2018,Clemson,ACC,47.0,16.0,0.0,0.746
2019,Clemson,ACC,35.0,26.0,0.0,0.574
2021,Clemson,ACC,25.0,27.0,0.0,0.481
2022,Clemson,ACC,35.0,23.0,0.0,0.603
2023,Clemson,ACC,44.0,19.0,0.0,0.698
2024,Clemson,ACC,44.0,16.0,0.0,0.733
2025,Clemson,ACC,45.0,18.0,0.0,0.7142857142857143
2017,Coastal Carolina,Sun Belt,37.0,19.0,1.0,0.658
2018,Coastal Carolina,Sun Belt,43.0,19.0,0.0,0.694
2019,Coastal Carolina,Sun Belt,36.0,26.0,1.0,0.579
2021,Coastal Carolina,Sun Belt,27.0,24.0,0.0,0.529
2022,Coastal Carolina,Sun Belt,39.0,20.0,1.0,0.658
2023,Coastal Carolina,Sun Belt,42.0,21.0,0.0,0.667
2024,Coastal Carolina,Sun Belt,36.0,25.0,0.0,0.59
2025,Coastal Carolina,Sun Belt,56.0,13.0,0.0,0.8115942028985508
2017,Col. of Charleston,Coastal Athletic,28.0,31.0,0.0,0.475
2018,Col. of Charleston,Coastal Athletic,36.0,19.0,0.0,0.655
2019,Col. of Charleston,Coastal Athletic,36.0,21.0,0.0,0.632
2021,Col. of Charleston,Coastal Athletic,27.0,25.0,0.0,0.519
2022,Col. of Charleston,Coastal Athletic,37.0,20.0,0.0,0.649
2023,Col. of Charleston,Coastal Athletic,36.0,22.0,0.0,0.621
2024,Col. of Charleston,Coastal Athletic,41.0,14.0,0.0,0.745
2025,Col. of Charleston,Coastal Athletic,37.0,22.0,0.0,0.6271186440677966
2017,Columbia,Ivy League,18.0,23.0,0.0,0.439
2018,Columbia,Ivy League,20.0,30.0,0.0,0.4
