team,season,week,n_players,woba_mean,woba_std,woba_p10,woba_p25,woba_p50,woba_p75,woba_p90,n_returning_players,n_unknown_players,pa_coverage,avg_K%,avg_BB%,avg_ISO,avg_BABIP,rank
UTA,2026,,18,0.42044617134470424,0.007907298367902871,0.41026638902096774,0.4150214810085403,0.4203360913220445,0.4257886314650581,0.4306398898803554,18,0,1.0,0.19810378587057445,0.10507950486565094,0.1767894940492725,0.3440281955773943,100
IU,2026,,14,0.4201727900164979,0.008378011383859107,0.4094479253669448,0.41434895639592034,0.4200510219333902,0.4257714003745672,0.4310732918871754,14,0,1.0,0.20736525477072323,0.11703091279894226,0.1584776946366862,0.3305849855240897,101
TOW,2026,,15,0.4201460599884392,0.008426994873745505,0.4093881956525629,0.4143636897631471,0.42006064893733486,0.42579191907094216,0.4309330559696297,15,0,1.0,0.1871814895486228,0.1148805948545993,0.1601869682062274,0.3413708754382119,102
SAC,2026,,13,0.4200504737434341,0.008070841052383647,0.4097455155057012,0.4145422530569062,0.41995282846782733,0.4253695872806626,0.4304662547969265,13,0,1.0,0.22746506748454573,0.1103819074106014,0.166780771909768,0.35204586593659914,103
UAPB,2026,,17,0.41963157418819264,0.009867699906178395,0.4071192103300776,0.4129054885940868,0.4194922266978933,0.42628913600598084,0.4322668627305236,17,0,1.0,0.18525208677523464,0.10528466695750646,0.16751293676171325,0.34981478747187705,104
APSU,2026,,10,0.41946660147371057,0.007913730607838452,0.4094222435791613,0.4141749551178492,0.4193083695069606,0.4246061212642251,0.4297799108202247,10,0,1.0,0.18125574154126026,0.1199297392959138,0.15644052639137107,0.3291858022141075,105
GWEB,2026,,16,0.4192349485616549,0.006875377452105531,0.4104673104338077,0.41457897905786634,0.4191562339802003,0.4238253583514535,0.42804125629466777,16,0,1.0,0.18597839093565105,0.10532836274694443,0.16377079026055474,0.34089688888150327,106
ORU,2026,,15,0.41918300803952335,0.0064979942421552715,0.4108786681036921,0.41472825218138115,0.41913494295074866,0.42346296344315765,0.4275292962865618,15,0,1.0,0.18730347025097763,0.11542900355525433,0.16613637733970193,0.33643694244425115,107
USC,2026,,13,0.4190832985743084,0.00723767298136303,0.409736894955508,0.414086097292759,0.41901367987723936,0.4239952216799501,0.428368151433808,13,0,1.0,0.19998420100224712,0.10500381641045853,0.17812013024790316,0.3413688243357201,108
DAV,2026,,13,0.4189001552600635,0.010942283877205219,0.4050950359134506,0.41150089995553185,0.4187421264764384,0.42621030883857136,0.43287652758349865,13,0,1.0,0.2333107055724131,0.11176347672142914,0.16181697809905324,0.3430268846020485,109
KENT,2026,,13,0.4187134222956065,0.006990430027417184,0.4098546469083497,0.41399798794642173,0.41856078809050534,0.42334763362518896,0.42766396022731695,13,0,1.0,0.20089562036548897,0.11470031819675844,0.15933689935840228,0.33926988681296205,110
MD,2026,,14,0.41870930718275257,0.008706951633245719,0.4076791896555751,0.41271890465226,0.41858418872223635,0.4245769100922074,0.42991088033007413,14,0,1.0,0.2010791592967112,0.12221336053772909,0.1601877050019555,0.32766527268365664,111
SJSU,2026,,15,0.4186387607481802,0.007922880388668485,0.4085640726646735,0.413209799637162,0.4185608578031212,0.4239181233463204,0.4289048844104995,15,0,1.0,0.20557076367049915,0.11407152360878393,0.17247826850279763,0.340811469815547,112
FAMU,2026,,18,0.41860655969958,0.007753910084076294,0.4086309954876357,0.4133750791563121,0.4186058558033917,0.4238085838317272,0.428578258480297,18,0,1.0,0.19554534112405839,0.10904942677381838,0.1706194754317666,0.33093116977320375,113
AMCC,2026,,16,0.4185198621365298,0.008824422822688496,0.40732759965791676,0.41251085754050043,0.4183650282427486,0.4243888056099411,0.4297172153426433,16,0,1.0,0.19279545304289608,0.11032582706286713,0.16817550467764927,0.34872906356704925,114
OMA,2026,,14,0.41824385157733096,0.007080953804098611,0.40919058273539555,0.41338802159866683,0.41814003368119096,0.4229541498956183,0.4274424876267448,14,0,1.0,0.1913580807068508,0.11166640624037173,0.1626152784096218,0.3423577864657128,115
GMU,2026,,14,0.41790793874569954,0.007692134333413475,0.40824261599593886,0.41260524374702556,0.4178547553146114,0.42309761293196463,0.4277326824165918,14,0,1.0,0.18051011505181186,0.10799514958618255,0.15476789338718164,0.3370574655108474,116
LR,2026,,17,0.41731162699619634,0.007597531040446559,0.40752364508247096,0.41204868343419976,0.4172161386718566,0.4224991382216986,0.4271468659794937,17,0,1.0,0.1680365108625866,0.11330212447711865,0.16931257827009208,0.33763990418927115,117
UIW,2026,,15,0.41717236088021253,0.009020729756713171,0.4056994643747577,0.41110964518720783,0.41721364572105446,0.4231487804103252,0.42861586271873703,15,0,1.0,0.18446029322884952,0.13940336979974313,0.14771783566993005,0.3270907814782428,118
HOU,2026,,17,0.41712219012480883,0.00695488870007006,0.40830475558632046,0.4124263196415255,0.41715939870093055,0.421775513267707,0.42595138527684706,17,0,1.0,0.21065974696989562,0.11859520095520806,0.169127129735888,0.3338829966579893,119
STAN,2026,,16,0.4169666643964454,0.007618923899455735,0.40725836052119146,0.4117008946124354,0.41682542654986726,0.42214281331159353,0.4268446672812787,16,0,1.0,0.19741788835094465,0.10693153312929371,0.1797650615369054,0.33802623729592074,120
TENN,2026,,14,0.4166601525455375,0.007177688754921848,0.4074614532917433,0.41183354042567405,0.41654654226663235,0.4213571031190677,0.42592946637324813,14,0,1.0,0.2083255059826404,0.1289380933231791,0.17104917184236515,0.32749464352670526,121
QUIN,2026,,13,0.41662477560376593,0.00864055954257537,0.40568377160840124,0.41071216948062256,0.4164287292988622,0.4223795750327267,0.4277978286624618,13,0,1.0,0.19223056491607118,0.11014142564811755,0.1588134221854489,0.333445175791493,122
PITT,2026,,16,0.4163581552247971,0.00686506898034077,0.40762698095592526,0.4117000633059402,0.4162583828278279,0.42087728114268386,0.4252705675474235,16,0,1.0,0.2143291627088841,0.12520459252039118,0.15751269614045987,0.3220249964293238,123
STBK,2026,,17,0.41625007964976446,0.008400865527668517,0.40559112906924816,0.41059160897192243,0.41616273924527625,0.4219120874241842,0.42717674324863136,17,0,1.0,0.1926452342449926,0.10957032143525726,0.16881325528629004,0.33704079551157395,124
SIE,2026,,19,0.4162222441938935,0.006825259559676818,0.40755678949936164,0.41153331240892216,0.41612163274946157,0.4206976436924776,0.42511256202908126,19,0,1.0,0.2072714702053152,0.10842573006664444,0.16791457960594944,0.3379790747822343,125
CMU,2026,,15,0.4161825347601436,0.007094903393490233,0.40717107977827577,0.4113800967451729,0.41611723127523753,0.4208747634115786,0.4252947828380161,15,0,1.0,0.19880962559395918,0.10729259496865723,0.1670310898246615,0.34385069999256973,126
ILL,2026,,13,0.41585487511256963,0.006993952401145979,0.40702973139319626,0.41104935724690306,0.4157492093118384,0.4205681524111269,0.4248374587013386,13,0,1.0,0.19350103475928424,0.11829249420180976,0.15949801234222857,0.3248527802768018,127
FLA,2026,,15,0.4157502525169739,0.008105873225744414,0.4054712951962798,0.41023495588394376,0.41569070477560943,0.4210770195749763,0.4260904520354083,15,0,1.0,0.20905452698221544,0.1142699627231567,0.16471118641016463,0.33614792094939955,128
INST,2026,,14,0.4156983775989982,0.008408936374817396,0.40506633731819014,0.40988924520462156,0.41560426801939077,0.421406548951831,0.42664353598124466,14,0,1.0,0.20995955496711668,0.10017827803637942,0.1684846198223867,0.34046053303760415,129
FRES,2026,,14,0.4153543394280739,0.008288639813012371,0.4047532502517217,0.40974421201053446,0.41529410143301837,0.42091991735497325,0.4260889189650221,14,0,1.0,0.17770431790207217,0.10158535303676819,0.16788466010617428,0.34363776457162265,130
SEA,2026,,14,0.41529985676672077,0.01094152470753299,0.40146513110970616,0.407694253094418,0.41508103033492977,0.4227614083372139,0.42957767581674494,14,0,1.0,0.2227188845033147,0.11486346985938531,0.16597286468948397,0.3404389828061955,131
UNM,2026,,16,0.4150971122988875,0.007904333455773974,0.40497185505323885,0.40964560617231593,0.4151641542276615,0.42040023854583497,0.42529600387249883,16,0,1.0,0.1766465626791251,0.1235297418169705,0.1438309549338379,0.32846189302400564,132
JAX,2026,,16,0.4149863988954345,0.007888835979884096,0.40496334745561613,0.4095374198091967,0.4148826593306898,0.42024592758366586,0.4251577630994998,16,0,1.0,0.1963336910479477,0.11690692266865156,0.16107844123458911,0.34273348151451105,133
EIU,2026,,18,0.41495850977820964,0.006166892627381467,0.407157097355689,0.4107491237756291,0.4148292484564968,0.41909054569576476,0.4229704616040109,18,0,1.0,0.17890219614349545,0.11572693173494675,0.15599829451826855,0.3345466510291406,134
TTU,2026,,15,0.4146359457524225,0.007125671830224383,0.4055078800789859,0.40977602919130873,0.41455068222623037,0.4195036685299043,0.42389458452152967,15,0,1.0,0.19059747812822475,0.1315317217023871,0.16223210337230654,0.3267499649896453,135
WIU,2026,,13,0.4146217540027357,0.00795070577287539,0.4046228061939135,0.40925946492476795,0.41453387923228263,0.4199370187085239,0.4248677049172709,13,0,1.0,0.19611376406209666,0.12344868036990946,0.1541809196888397,0.3320705400164827,136
OSU,2026,,13,0.41451110974892447,0.008552718621865423,0.40370958390616085,0.408607287147304,0.4144425250187782,0.4202184607854932,0.4255825760572301,13,0,1.0,0.2211102604202661,0.12106185229262491,0.16599208368591006,0.3359098617321247,137
