Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2025,Blake Jacklin,East Tennessee State,SR,RF,0.332,0.424,0.474,0.898,48,227,190,48,63,8,2,5,27,2,30,28,15,4,12.3%,13.2%,0.93,0.142,0.365,0.413,41,6,116,35.9%,30.1%,34.0%,7.1%,9.4%
2025,Blake Penso,UC Irvine,SR,C,0.284,0.362,0.5,0.862,54,205,176,41,50,12,1,8,44,8,14,60,0,0,29.3%,6.8%,4.31,0.216,0.385,0.387,33,1,103,35.0%,23.9%,41.0%,8.5%,16.7%
2025,Blake Primrose,Saint Joseph’s,FR,C,0.329,0.399,0.497,0.895,40,168,143,22,47,9,0,5,32,2,18,28,1,0,16.7%,10.7%,1.56,0.168,0.365,0.402,29,3,111,25.8%,27.5%,46.7%,5.8%,8.9%
2025,Blake Schaaf,Georgetown,SO,SS,0.344,0.442,0.476,0.918,55,233,189,47,65,11,1,4,35,4,33,42,31,4,18.0%,14.2%,1.27,0.132,0.412,0.423,44,8,121,46.9%,21.4%,31.7%,1.4%,8.7%
2025,Blake Wilson,Washington,SO,2B,0.216,0.3,0.364,0.664,52,201,176,32,38,9,1,5,24,6,16,54,8,4,26.9%,8.0%,3.36,0.148,0.277,0.308,20,-12,62,41.0%,12.8%,46.2%,14.5%,9.3%
2025,Blaze Bell,Tennessee-Martin,SR,DH,0.307,0.374,0.41,0.784,47,191,166,33,51,9,1,2,31,5,14,21,5,2,11.0%,7.3%,1.51,0.102,0.338,0.365,27,-3,92,49.0%,19.3%,31.7%,7.6%,4.3%
2025,Bo Yaworski,Central Connecticut,SR,1B,0.301,0.38,0.48,0.86,46,208,173,30,52,13,6,2,45,3,23,18,4,1,8.7%,11.1%,0.78,0.179,0.314,0.388,34,1,104,39.3%,16.7%,44.0%,9.3%,3.0%
2025,Bobby Atkinson,Bradley,SR,DH,0.332,0.457,0.582,1.038,51,230,184,45,61,19,3,7,42,12,32,32,2,1,13.9%,13.9%,1.0,0.25,0.367,0.464,51,15,142,33.1%,19.2%,47.7%,7.9%,9.7%
2025,Bobby Blandford,Fresno State,SR,RF,0.311,0.391,0.601,0.992,60,272,238,47,74,23,2,14,53,7,25,62,4,0,22.8%,9.2%,2.48,0.29,0.368,0.435,54,12,128,35.8%,17.9%,46.2%,6.9%,17.5%
2025,Bobby Boser,Florida,SR,3B,0.336,0.437,0.613,1.05,61,287,238,72,80,12,0,18,67,16,28,72,19,5,25.1%,9.8%,2.56,0.277,0.413,0.463,64,19,142,39.0%,23.8%,37.2%,3.7%,29.5%
2025,Bobby Stang,Dayton,SO,DH,0.241,0.357,0.422,0.778,48,199,166,32,40,6,0,8,31,7,24,41,3,2,20.6%,12.1%,1.7,0.181,0.269,0.359,28,-4,89,40.8%,14.4%,44.8%,12.0%,14.3%
2025,Bode Grieve,Lafayette,JR,RF,0.25,0.324,0.356,0.68,46,184,160,29,40,5,0,4,21,9,10,44,3,0,23.9%,5.4%,4.43,0.106,0.313,0.318,19,-9,68,40.5%,18.1%,41.4%,8.6%,8.3%
